11:48:23.110 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
12:28:48.397 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
12:28:48.397 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
13:53:32.695 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
13:53:32.695 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
13:58:06.965 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
13:58:06.965 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
14:03:27.736 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:03:27.736 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
14:09:31.743 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:09:31.743 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
14:14:55.317 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:14:55.317 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
14:26:20.398 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:26:20.399 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
14:44:01.759 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:44:01.759 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
14:51:55.483 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:51:55.483 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
16:38:50.313 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
16:38:50.313 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
16:51:08.375 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
16:51:08.375 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
16:56:40.419 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
16:56:40.419 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
16:58:06.101 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
16:58:06.101 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
16:59:17.115 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
16:59:17.115 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
10:28:28.781 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
10:28:28.782 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
10:34:48.623 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
10:34:48.623 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
10:43:35.467 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
10:43:35.467 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
10:53:34.335 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
10:53:34.335 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
10:59:58.055 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
10:59:58.055 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
11:08:52.461 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:08:52.461 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
11:17:44.092 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:17:44.092 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
11:32:37.110 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:32:37.110 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
11:46:21.601 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:46:21.601 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
11:59:12.141 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:59:12.141 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
14:18:00.260 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:18:00.260 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
